type,test_people_ids,train_people_ids,loss,loss_X,loss_x1,loss_x2,error_X_mean,error_X_median,error_X_std,error_x1_mean,error_x1_median,error_x1_std,error_x2_mean,error_x2_median,error_x2_std,ATE_error,RPE_error,acc@0.05,acc@0.1,acc@0.2,acc@0.3,acc@0.4,acc@0.5
walking_test,"1,2,8,10,11","0,3,4,5,6,7,9,12,13,14",0.00901311719186466,0.008526680068354364,0.00024240367969873155,0.00024403344286838546,0.1395883411169052,0.12945394217967987,0.07755421102046967,6.291241645812988,5.720058441162109,3.651103973388672,6.0845513343811035,5.7917914390563965,3.1025538444519043,0.16747120022773743,0.07893171906471252,0.0715952143073082,0.3260425925254822,0.8222513794898987,0.9728783965110779,0.9978127479553223,0.9992709159851074
cross_train,"1,2,8,10,11","0,3,4,5,6,7,9,12,13,14",0.011831276529632947,0.011215940254795201,0.0003119758587084053,0.0003033603583496776,0.15390382707118988,0.14289210736751556,0.099329374730587,6.7924017906188965,5.947659015655518,4.954168796539307,6.915000915527344,6.546886444091797,3.5623042583465576,0.16983334720134735,0.08396244049072266,0.05091839283704758,0.26807719469070435,0.7719135284423828,0.9651243686676025,0.9953499436378479,0.9972099661827087
cross_test,"1,2,8,10,11","0,3,4,5,6,7,9,12,13,14",0.009128673188388347,0.008513478096574545,0.0003239583922550082,0.00029123660497134554,0.140447199344635,0.12914353609085083,0.07305573672056198,6.600959300994873,5.669083595275879,5.536979675292969,6.580624580383301,6.094627857208252,3.4935741424560547,0.22722609341144562,0.0775233805179596,0.06230158731341362,0.3186507821083069,0.8162698149681091,0.9726190567016602,0.9992063641548157,0.9996031522750854
square_train,"1,2,8,10,11","0,3,4,5,6,7,9,12,13,14",0.009730551462394722,0.009082530808606834,0.000337930222899145,0.0003100904666070798,0.14702098071575165,0.13495385646820068,0.07596016675233841,7.460041522979736,7.002968788146973,4.100204944610596,6.812967300415039,6.556600093841553,3.3144073486328125,0.1609071046113968,0.07898098230361938,0.05869565159082413,0.3014492690563202,0.7850241661071777,0.9594202637672424,0.9946860074996948,0.9997584819793701
square_test,"1,2,8,10,11","0,3,4,5,6,7,9,12,13,14",0.009087005948745891,0.00834406150112811,0.0004106661883844553,0.00033227822400237387,0.13972581923007965,0.1273193061351776,0.07363548874855042,7.953436374664307,7.386275291442871,5.363020896911621,6.9102020263671875,6.532784938812256,3.440755844116211,0.2084091603755951,0.07087821513414383,0.08028583228588104,0.3366960883140564,0.810844898223877,0.9663724303245544,0.994955837726593,1.0
